id,entity_legal_form_id:id,name
entity_legal_form_abbreviation_209,entity_legal_form_203,SA
entity_legal_form_abbreviation_210,entity_legal_form_204,AG
entity_legal_form_abbreviation_211,entity_legal_form_205,BV GCV
entity_legal_form_abbreviation_212,entity_legal_form_206,SC SCS
entity_legal_form_abbreviation_213,entity_legal_form_207,ZRG EKG
entity_legal_form_abbreviation_214,entity_legal_form_208,NV PR
entity_legal_form_abbreviation_215,entity_legal_form_209,SA DPU
entity_legal_form_abbreviation_216,entity_legal_form_210,Ö.-r.AG
entity_legal_form_abbreviation_217,entity_legal_form_211,Comm.VA
entity_legal_form_abbreviation_218,entity_legal_form_212,SCA
entity_legal_form_abbreviation_219,entity_legal_form_213,KGaA
entity_legal_form_abbreviation_220,entity_legal_form_214,BV VOF
entity_legal_form_abbreviation_221,entity_legal_form_215,SC SNC
entity_legal_form_abbreviation_222,entity_legal_form_216,ZRG OHG
entity_legal_form_abbreviation_223,entity_legal_form_217,BV LV
entity_legal_form_abbreviation_224,entity_legal_form_218,SC SAGR
entity_legal_form_abbreviation_225,entity_legal_form_219,ZRG LG
entity_legal_form_abbreviation_226,entity_legal_form_220,V.O.F.
entity_legal_form_abbreviation_227,entity_legal_form_221,SNC
entity_legal_form_abbreviation_228,entity_legal_form_222,OHG
entity_legal_form_abbreviation_229,entity_legal_form_223,IVZW
entity_legal_form_abbreviation_230,entity_legal_form_224,AISBL
entity_legal_form_abbreviation_231,entity_legal_form_225,IVoG
entity_legal_form_abbreviation_232,entity_legal_form_226,NV SO
entity_legal_form_abbreviation_233,entity_legal_form_227,SA FS
entity_legal_form_abbreviation_234,entity_legal_form_228,AGmsZ
entity_legal_form_abbreviation_235,entity_legal_form_229,BV BVBA
entity_legal_form_abbreviation_236,entity_legal_form_230,SC SPRL
entity_legal_form_abbreviation_237,entity_legal_form_231,ZvGPgbH
entity_legal_form_abbreviation_238,entity_legal_form_232,VZW
entity_legal_form_abbreviation_239,entity_legal_form_233,ASBL
entity_legal_form_abbreviation_240,entity_legal_form_234,VoG
entity_legal_form_abbreviation_241,entity_legal_form_235,BV CVOA
entity_legal_form_abbreviation_242,entity_legal_form_236,SC SCRI
entity_legal_form_abbreviation_243,entity_legal_form_237,ZvGGugcH
entity_legal_form_abbreviation_244,entity_legal_form_238,CVBA PR
entity_legal_form_abbreviation_245,entity_legal_form_239,SCRL DPU
entity_legal_form_abbreviation_246,entity_legal_form_240,ÖfrGmbH
entity_legal_form_abbreviation_247,entity_legal_form_241,GCW SO
entity_legal_form_abbreviation_248,entity_legal_form_242,SCS FS
entity_legal_form_abbreviation_249,entity_legal_form_243,EKGmsZ
entity_legal_form_abbreviation_250,entity_legal_form_244,BV NV
entity_legal_form_abbreviation_251,entity_legal_form_245,SC SA
entity_legal_form_abbreviation_252,entity_legal_form_246,ZRG AG
entity_legal_form_abbreviation_253,entity_legal_form_247,PRIV ST.
entity_legal_form_abbreviation_254,entity_legal_form_247,PS
entity_legal_form_abbreviation_255,entity_legal_form_248,FONDPRIV
entity_legal_form_abbreviation_256,entity_legal_form_249,PrSt
entity_legal_form_abbreviation_257,entity_legal_form_250,SCE
entity_legal_form_abbreviation_258,entity_legal_form_251,SCE
entity_legal_form_abbreviation_259,entity_legal_form_252,OFP
entity_legal_form_abbreviation_260,entity_legal_form_253,LV
entity_legal_form_abbreviation_261,entity_legal_form_254,S. Agr.
entity_legal_form_abbreviation_262,entity_legal_form_255,LG
entity_legal_form_abbreviation_263,entity_legal_form_256,NV SO
entity_legal_form_abbreviation_264,entity_legal_form_257,SA FS
entity_legal_form_abbreviation_265,entity_legal_form_258,AGmsZ
entity_legal_form_abbreviation_266,entity_legal_form_259,SON
entity_legal_form_abbreviation_267,entity_legal_form_260,FUP
entity_legal_form_abbreviation_268,entity_legal_form_261,gnS
entity_legal_form_abbreviation_269,entity_legal_form_289,S.A.
entity_legal_form_abbreviation_270,entity_legal_form_293,S.A.M.
entity_legal_form_abbreviation_271,entity_legal_form_296,S.C.A.
entity_legal_form_abbreviation_272,entity_legal_form_297,S.R.L.
entity_legal_form_abbreviation_273,entity_legal_form_299,S.C.
entity_legal_form_abbreviation_274,entity_legal_form_300,S.C.S.
entity_legal_form_abbreviation_275,entity_legal_form_324,EP
entity_legal_form_abbreviation_276,entity_legal_form_325,S.N.C.
entity_legal_form_abbreviation_277,entity_legal_form_326,S/S
entity_legal_form_abbreviation_278,entity_legal_form_329,Fund.
entity_legal_form_abbreviation_279,entity_legal_form_330,Assoc.
entity_legal_form_abbreviation_280,entity_legal_form_331,EIRELI
entity_legal_form_abbreviation_281,entity_legal_form_333,LTDA.
entity_legal_form_abbreviation_282,entity_legal_form_334,S.C.S.
entity_legal_form_abbreviation_283,entity_legal_form_335,S.A.
entity_legal_form_abbreviation_284,entity_legal_form_335,S/A
entity_legal_form_abbreviation_285,entity_legal_form_336,S.A.
entity_legal_form_abbreviation_286,entity_legal_form_336,S/A
entity_legal_form_abbreviation_287,entity_legal_form_337,C/A
entity_legal_form_abbreviation_288,entity_legal_form_338,S.C.P.
entity_legal_form_abbreviation_289,entity_legal_form_339,Sdn Bhd
entity_legal_form_abbreviation_290,entity_legal_form_339,Bhd
entity_legal_form_abbreviation_291,entity_legal_form_340,Sdn Bhd
entity_legal_form_abbreviation_292,entity_legal_form_340,Bhd
entity_legal_form_abbreviation_293,entity_legal_form_345,ЕТ
entity_legal_form_abbreviation_294,entity_legal_form_348,ЕАД
entity_legal_form_abbreviation_295,entity_legal_form_349,С-ие
entity_legal_form_abbreviation_296,entity_legal_form_349,СД
entity_legal_form_abbreviation_297,entity_legal_form_349,С-ИЕ
entity_legal_form_abbreviation_298,entity_legal_form_350,КДА
entity_legal_form_abbreviation_299,entity_legal_form_353,АДСИЦ
entity_legal_form_abbreviation_300,entity_legal_form_355,ЕОИИ
entity_legal_form_abbreviation_301,entity_legal_form_356,КД
entity_legal_form_abbreviation_302,entity_legal_form_357,ЕД
entity_legal_form_abbreviation_303,entity_legal_form_358,ДЗЗД
entity_legal_form_abbreviation_304,entity_legal_form_359,ЕКД
entity_legal_form_abbreviation_305,entity_legal_form_361,ООД
entity_legal_form_abbreviation_306,entity_legal_form_362,АД
entity_legal_form_abbreviation_307,entity_legal_form_363,ЕООД
entity_legal_form_abbreviation_308,entity_legal_form_397,LLP
entity_legal_form_abbreviation_309,entity_legal_form_397,SRL
entity_legal_form_abbreviation_310,entity_legal_form_397,SENCRL
entity_legal_form_abbreviation_311,entity_legal_form_398,LLP
entity_legal_form_abbreviation_312,entity_legal_form_398,SRL
entity_legal_form_abbreviation_313,entity_legal_form_398,SENCRL
